source_row_index,Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,UV1,UV2,UV3,Q1,Q2,SC0,speaker,question_column,question_id,survey_order,response_numeric,response_letter,solution_letter,is_correct
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns1_item4,ns1_item4,18,2,B,B,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns3_item3,ns3_item3,19,2,B,B,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns1_item7,ns1_item7,20,2,B,B,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns2_item0,ns2_item0,21,2,B,B,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns1_item0,ns1_item0,22,2,B,C,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns1_item3,ns1_item3,23,2,B,A,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns3_item4,ns3_item4,24,2,B,C,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns2_item7,ns2_item7,1,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns1_item5,ns1_item5,2,2,B,A,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns3_item2,ns3_item2,3,2,B,A,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns3_item7,ns3_item7,4,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns2_item5,ns2_item5,5,2,B,A,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns2_item2,ns2_item2,6,2,B,A,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns3_item1,ns3_item1,7,3,C,C,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns2_item3,ns2_item3,8,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns2_item6,ns2_item6,9,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns3_item0,ns3_item0,10,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns1_item1,ns1_item1,11,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns2_item4,ns2_item4,12,2,B,C,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns3_item5,ns3_item5,13,2,B,A,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns1_item6,ns1_item6,14,2,B,C,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns2_item1,ns2_item1,15,2,B,C,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns1_item2,ns1_item2,16,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns3_item6,ns3_item6,17,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns1_item4,ns1_item4,18,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns3_item3,ns3_item3,19,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns1_item7,ns1_item7,20,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns2_item0,ns2_item0,21,2,B,B,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns1_item0,ns1_item0,22,2,B,C,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns1_item3,ns1_item3,23,2,B,A,0
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,speaker2_ns3_item4,ns3_item4,24,2,B,C,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns2_item7,ns2_item7,1,3,C,B,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns1_item5,ns1_item5,2,3,C,A,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns3_item2,ns3_item2,3,3,C,A,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns3_item7,ns3_item7,4,2,B,B,1
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns2_item5,ns2_item5,5,3,C,A,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns2_item2,ns2_item2,6,2,B,A,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns3_item1,ns3_item1,7,3,C,C,1
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns2_item3,ns2_item3,8,1,A,B,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns2_item6,ns2_item6,9,3,C,B,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns3_item0,ns3_item0,10,2,B,B,1
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns1_item1,ns1_item1,11,1,A,B,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns2_item4,ns2_item4,12,3,C,C,1
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns3_item5,ns3_item5,13,2,B,A,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns1_item6,ns1_item6,14,2,B,C,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns2_item1,ns2_item1,15,1,A,C,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns1_item2,ns1_item2,16,3,C,B,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns3_item6,ns3_item6,17,3,C,B,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns1_item4,ns1_item4,18,2,B,B,1
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns3_item3,ns3_item3,19,3,C,B,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns1_item7,ns1_item7,20,2,B,B,1
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns2_item0,ns2_item0,21,3,C,B,0
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns1_item0,ns1_item0,22,3,C,C,1
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns1_item3,ns1_item3,23,1,A,A,1
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,speaker2_ns3_item4,ns3_item4,24,3,C,C,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns2_item7,ns2_item7,1,2,B,B,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns1_item5,ns1_item5,2,1,A,A,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns3_item2,ns3_item2,3,1,A,A,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns3_item7,ns3_item7,4,2,B,B,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns2_item5,ns2_item5,5,1,A,A,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns2_item2,ns2_item2,6,1,A,A,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns3_item1,ns3_item1,7,2,B,C,0
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns2_item3,ns2_item3,8,1,A,B,0
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns2_item6,ns2_item6,9,1,A,B,0
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns3_item0,ns3_item0,10,1,A,B,0
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns1_item1,ns1_item1,11,2,B,B,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns2_item4,ns2_item4,12,2,B,C,0
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns3_item5,ns3_item5,13,2,B,A,0
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns1_item6,ns1_item6,14,2,B,C,0
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns2_item1,ns2_item1,15,2,B,C,0
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns1_item2,ns1_item2,16,1,A,B,0
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns3_item6,ns3_item6,17,2,B,B,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns1_item4,ns1_item4,18,2,B,B,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns3_item3,ns3_item3,19,2,B,B,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns1_item7,ns1_item7,20,2,B,B,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns2_item0,ns2_item0,21,2,B,B,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns1_item0,ns1_item0,22,2,B,C,0
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns1_item3,ns1_item3,23,1,A,A,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,speaker1_ns3_item4,ns3_item4,24,2,B,C,0
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns2_item7,ns2_item7,1,2,B,B,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns1_item5,ns1_item5,2,1,A,A,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns3_item2,ns3_item2,3,1,A,A,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns3_item7,ns3_item7,4,2,B,B,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns2_item5,ns2_item5,5,1,A,A,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns2_item2,ns2_item2,6,2,B,A,0
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns3_item1,ns3_item1,7,3,C,C,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns2_item3,ns2_item3,8,2,B,B,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns2_item6,ns2_item6,9,1,A,B,0
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns3_item0,ns3_item0,10,1,A,B,0
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns1_item1,ns1_item1,11,2,B,B,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns2_item4,ns2_item4,12,3,C,C,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns3_item5,ns3_item5,13,1,A,A,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns1_item6,ns1_item6,14,3,C,C,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns2_item1,ns2_item1,15,3,C,C,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns1_item2,ns1_item2,16,2,B,B,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns3_item6,ns3_item6,17,1,A,B,0
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns1_item4,ns1_item4,18,2,B,B,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns3_item3,ns3_item3,19,2,B,B,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns1_item7,ns1_item7,20,1,A,B,0
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns2_item0,ns2_item0,21,2,B,B,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns1_item0,ns1_item0,22,3,C,C,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns1_item3,ns1_item3,23,1,A,A,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,speaker0_ns3_item4,ns3_item4,24,3,C,C,1
